ci_course_no,test_time,ci_class_name
104GT002,0,设计学类[205-8]班
104GT002,0,设计学类[201-4]班
104GT002,0,绘画[201-4]班
104GT002,0,管理科学与工程类[201-4]班
104GT002,0,新闻传播学类[201-3]班
104GT002,0,"播音与主持艺术[201-2]班,新闻传播学类[204-5]班"
104GT002,0,"哲学[201-2]班,历史学[201-2]班"
104GT002,0,土木类[201-4]班
104GT002,0,土木类[205-8]班
104GT002,0,公共管理类[201-4]班
104GT002,0,"工业设计201班,音乐学[205-6]班"
104GT002,0,音乐学[201-4]班
104GT002,0,"应用心理学[201-2]班,公共关系学[201-2]班"
104GT002,0,"公共管理类205班,旅游管理类[201-3]班"
104GT002,0,"水利水电工程[201-2]班,日语[201-2]班"
104GT002,0,中国语言文学类[201-4]班
104GT002,0,食品科学与工程类[201-4]班
104GT002,0,"会计学[201-2]班,会计学（国际会计师ACCA）[201-2]班"
104GT002,0,"英语[201-3]班,英语（英日）201班"
104GT002,0,"生物科学类205班,水产养殖学[201-2]班,生态学201班"
104GT002,0,"俄语201班,德语201班,法语201班,西班牙语201班,英语（英西）201班"
104GT002,0,"经济学（新结构经济学实验班）201班,工商管理204班,工业工程[201-2]班"
104GT002,0,"表演201班,舞蹈学[201-3]班"
104GT002,0,"生物工程[201-2]班,食品科学与工程类[205-6]班"
104GT002,0,法学类[201-4]班
104GT002,0,"体育教育[201-2]班,运动训练[201-2]班"
104GT002,0,"工程力学201班,建筑类[201-3]班"
104GT002,0,"金融学[201-3]班,工商管理（中法实验班）201班"
104GT002,0,生物科学类[201-4]班
104GT002,0,经济学[201-3]班
104GT002,0,环境科学与工程类[201-4]班
104GT002,0,"过程装备与控制工程[201-2]班,环境科学与工程类205班"
104GT002,0,化工与制药类[201-4]班
104GT002,0,工商管理[201-3]班
104GT002,0,"中国语言文学类205班,汉语言文学（国学班）201班,档案学201班"
101CL001,1,"金融数学[201-2]班,前湖学院综合实验班201班"
101CL001,1,"材料类202班,材料类[202-7]班"
101CL001,1,"材料类201班,材料类[201-5]班"
101CL001,1,土木类[201-4]班
101CL001,1,土木类[205-8]班
101CL001,1,化学类[203-5]班
101CL001,1,化学类[201-2]班
101CL001,1,"食品科学与工程类[201-3]班,生物工程201班"
101CL001,1,"生物工程202班,食品科学与工程类[204-6]班"
