ci_course_no,ci_course_name,ci_teacher_name,ci_teacher_group,ci_class_name,ci_student_number,ci_class_att,ci_class_sign,ci_class_dep,ci_class_stat,ci_exam_type,ci_union_no,ci_original_remark,ci_appoint,ci_remark
Z6220X0108,网络课程开发,杨彦军,,教育学181班,27,选修,1,教育学院,0,笔试考试,,,0,
Z6220X0105,教育政策专题,,,教育学181班,27,选修,1,教育学院,0,笔试考试,,,0,
Z6220X0107,家庭教育专题,张欣,,教育学181班,27,选修,1,教育学院,0,笔试考试,,,0,
Z6220B0019,教育测量与评价,,,教育学181班,27,必修,1,教育学院,0,笔试考试,,,0,
J6220S0108,教育研究方法,,,教育学181班,27,必修,1,教育学院,0,笔试考试,,,0,
Z6220X0106,教育经济专题,吕合,,教育学181班,27,选修,1,教育学院,0,笔试考试,,,0,
J5510N0006,线性代数,赵瑄,,"土木工程（建筑工程方向）[181-3]班,土木工程（地下工程方向）181班",130,必修,1,理学院,0,笔试考试,,,0,
Z6030X0125,岩石力学,曾祥太,,土木工程（地下工程方向）181班,17,选修,1,建筑工程学院,0,笔试考试,,,0,
Z6030X0124,地下建筑结构,吕志涛,,土木工程（地下工程方向）181班,17,选修,1,建筑工程学院,0,笔试考试,,,0,
Z6030B0013,钢结构设计原理,支清,,土木工程（地下工程方向）181班,17,必修,1,建筑工程学院,0,笔试考试,,,0,
Z6030B0007,基础工程,赵抚民,,土木工程（地下工程方向）181班,17,必修,1,建筑工程学院,0,笔试考试,,,0,
Z6030X0129,隧道工程,刘伟平,,土木工程（地下工程方向）181班,17,选修,1,建筑工程学院,0,笔试考试,,,0,
Z6030X0128,基坑工程,刘小文,,土木工程（地下工程方向）181班,17,选修,1,建筑工程学院,0,笔试考试,,,0,
Z712KB0003,毕业论文,,,行政管理（双学位）191班,21,必修,1,公管学院,0,课程论文（报告）,,,0,
101CL001,大学生职业发展与就业指导,黄紫筠:乐建辉,,"金融数学[201-2]班,前湖学院综合实验班201班",96,必修,1,公共课排课,0,笔试考试,,,0,
501ZX308,逻辑学,刘剑凌,,金融数学[201-2]班,47,必修,1,人文学院,0,笔试考试,,,0,
550ZH202,宏观经济学,陈文财,,金融数学[201-2]班,54,选修,1,理学院,0,笔试考试,,该课程不对外专业开放,0,
550ZP002,数学分析（2）,王三华,,金融数学[201-2]班,50,必修,1,理学院,0,笔试考试,,该课程不对外专业开放,0,
550ZP005,高等代数（2）,戴小花,,金融数学202班,26,必修,1,理学院,0,笔试考试,,该课程不对外专业开放,0,
550ZP005,高等代数（2）,尹秀霞,,金融数学201班,29,必修,1,理学院,0,笔试考试,,该课程不对外专业开放,0,
610GJ002,Python程序设计,周理凤,,"数学类[201-3]班,金融数学[201-2]班",142,必修,1,信工学院,0,笔试考试,,,0,
T7210P4006,形势与政策（4）,王丽坤:左烨,,护理学[191-2]班,59,必修,1,马克思主义学院,0,笔试考试,,,0,
J81C0Y0002,护理心理学,李鸿艳:李玲艳:周湖燕,,护理学[191-2]班,59,必修,1,医学院,0,笔试考试,,,0,
J81A0Y0047,分子生物学（Ⅱ）,刘卓琦,,护理学191班,7,选修,1,医学院,0,笔试考试,,,0,
J81A0Y0047,分子生物学（Ⅱ）,刘卓琦,,护理学192班,9,选修,1,医学院,0,笔试考试,,,0,
J81J0Y0012,健康评估,敖建云:蔡霞:丁颖:樊有龙:房向东:胡晓彦:黄天伦:宋渊:王三怡:徐承云:徐臻:占徐龙:章海斌:张润香,,护理学[191-2]班,59,必修,1,医学院,0,笔试考试,,,0,
T7210P0004,毛泽东思想和中国特色社会主义理论体系概论,闰彩霞,,"基础医学191班,麻醉学[191-2]班,儿科学191班",148,必修,1,马克思主义学院,0,笔试考试,,,0,
J81C0Y0005,护理教育学,何朝珠:刘宇,,护理学[191-2]班,59,必修,1,医学院,0,笔试考试,,,0,
Z81C0B2016,高级英语（Ⅱ）,邵小红,,护理学[191-2]班,59,必修,1,医学院,0,口试考试,,,0,
J81C0Y0004,护理学基础(Ⅱ)(双语),贾书磊:刘萌:刘宇:张晓飞:周湖燕,,护理学[191-2]班,59,必修,1,医学院,0,笔试考试,,,0,
Z5950X0012,现代电动汽车技术,黄菊花,,车辆工程[181-2]班,87,选修,1,机电学院,0,笔试考试,,,0,
Z5950X0004,汽车设计,谭刚平,,车辆工程[181-2]班,93,选修,1,机电学院,0,笔试考试,,,0,
Z5950X0008,汽车检测技术,曹铭:肖先锋,,车辆工程[181-2]班,52,选修,1,机电学院,0,笔试考试,,,0,
Z5950X0003,汽车电器与电子控制技术,杨雪春:张超华,,车辆工程181班,47,选修,1,机电学院,0,笔试考试,,,0,
Z5950X0003,汽车电器与电子控制技术,曹铭,,车辆工程182班,40,选修,1,机电学院,0,笔试考试,,,0,
Z5950X0001,汽车CAD/CAE/CAM,吴晓建,,车辆工程[181-2]班,89,选修,1,机电学院,0,笔试考试,,,0,
Z5950X0006,汽车碰撞安全技术,陈宗渝,,车辆工程[181-2]班,86,选修,1,机电学院,0,笔试考试,,,0,
Z5950X0010,汽车振动分析,付艳恕:赵朋龙,,车辆工程[181-2]班,34,选修,1,机电学院,0,笔试考试,,,0,
Z5950B0003,汽车理论,吴晓建,,车辆工程[181-2]班,92,必修,1,机电学院,0,笔试考试,,,0,
Z5950B0002,汽车发动机原理,张庭芳,,车辆工程[181-2]班,91,必修,1,机电学院,0,笔试考试,,,0,
T7210P4006,形势与政策（4）,赵伊濛,,"行政管理[191-3]班,人力资源管理[191-2]班",136,必修,1,马克思主义学院,0,笔试考试,,,0,
T5130F4001,学术英语,周璇,,行政管理192班,32,必修,1,大学英语,0,笔试考试,,19??,0,
T5130F4001,学术英语,蒋三三,,行政管理191班,30,必修,1,大学英语,0,笔试考试,,19??,0,
T5130F4001,学术英语,曾洁,,行政管理193班,30,必修,1,大学英语,0,笔试考试,,19??,0,
J7100S0022,公共政策学,吴光芸,,行政管理[191-2]班,62,必修,1,公管学院,0,笔试考试,,,0,
J7100S0022,公共政策学,吴光芸,,"行政管理193班,劳动与社会保障191班",48,必修,1,公管学院,0,笔试考试,,,0,
J7100S0006,社会调查研究方法,李艾丽莎,,行政管理192班,32,必修,1,公管学院,0,笔试考试,,,0,
J7100S0006,社会调查研究方法,王绚,,行政管理191班,30,必修,1,公管学院,0,笔试考试,,,0,
J7100S0006,社会调查研究方法,谢永飞,,"行政管理193班,劳动与社会保障191班",48,必修,1,公管学院,0,笔试考试,,,0,
J7100S0021,人力资源管理概论,王海英,,行政管理[191-2]班,62,必修,1,公管学院,0,笔试考试,,,0,
J7100S0021,人力资源管理概论,贾清萍,,行政管理193班,30,必修,1,公管学院,0,笔试考试,,,0,
J7100S0004,政治学原理,刘海涛,,行政管理192班,33,必修,1,公管学院,0,笔试考试,,,0,
J7100S0004,政治学原理,刘海涛,,行政管理191班,30,必修,1,公管学院,0,笔试考试,,,0,
J7100S0004,政治学原理,罗亮,,行政管理193班,30,必修,1,公管学院,0,笔试考试,,,0,
J7100S0017,非营利组织管理,陈美华,,行政管理[191-2]班,62,必修,1,公管学院,0,笔试考试,,,0,
J7100S0017,非营利组织管理,陈美华,,"行政管理193班,劳动与社会保障191班",48,必修,1,公管学院,0,笔试考试,,,0,
T7210P0004,毛泽东思想和中国特色社会主义理论体系概论,张逸云,,"行政管理[191-3]班,人力资源管理[191-2]班,劳动与社会保障191班",154,必修,1,马克思主义学院,0,笔试考试,,,0,
Z712KB0003,毕业论文,,,公共关系学171班,30,必修,1,公管学院,0,课程设计,,,0,
Z6210X0038,残障人体育,,,体育教育171班,0,选修,1,教育学院,0,笔试考试,,,0,
Z6210X0038,残障人体育,,,体育教育172班,0,选修,1,教育学院,0,笔试考试,,,0,
Z6210B0111,体育课程与教学论,徐丹,,体育教育[171-2]班,55,必修,1,教育学院,0,笔试考试,,,0,
Z6210X0039,体育文化与奥林匹克运动,,,体育教育171班,0,选修,1,教育学院,0,笔试考试,,,0,
Z6210X0039,体育文化与奥林匹克运动,,,体育教育172班,0,选修,1,教育学院,0,笔试考试,,,0,
Z621KB0110,毕业论文,,,体育教育171班,27,必修,1,教育学院,0,笔试考试,,,0,
Z621KB0110,毕业论文,,,体育教育172班,28,必修,1,教育学院,0,笔试考试,,,0,
Z551KB0004,毕业论文,,,信息与计算科学171班,37,必修,1,理学院,0,笔试考试,,,0,
Z81Y0B0004,眼镜学,常以力:刘艳:万生辉:熊芬:袁林,,眼视光医学181班,27,必修,1,医学院,0,笔试考试,,,0,
Z81Y0B0008,眼屈光学,林娜娜:刘艳:万生辉,,眼视光医学181班,27,必修,1,医学院,0,笔试考试,,,0,
Z81Y0B0001,视觉神经生理学,罗云峰:张凤俊:邹琼,,眼视光医学181班,27,必修,1,医学院,0,笔试考试,,,0,
720GS006,形势与政策（2）,王珅,,材料类[201-3]班,87,必修,1,马克思主义学院,0,课程论文（报告）,,,0,
720GS006,形势与政策（2）,刘越,,材料类[204-7]班,114,必修,1,马克思主义学院,0,课程论文（报告）,,,0,
101CL001,大学生职业发展与就业指导,石增,,"材料类202班,材料类[202-7]班",92,必修,1,公共课排课,0,笔试考试,,,0,
101CL001,大学生职业发展与就业指导,余虹,,"材料类201班,材料类[201-5]班",110,必修,1,公共课排课,0,笔试考试,,,0,
550GL006,大学物理实验（1）上,杨莲芳,,"材料类[201-7]班,高等研究院本硕实验班201班,材料成型及控制工程[201-4]班,高等研究院稀土实验班201班",42,必修,1,高等研究院,0,其他,,,0,
210GX001,大学生心理健康指导,卢苇,,材料类[201-4]班,118,必修,1,公共课排课,0,笔试考试,,,0,
210GX001,大学生心理健康指导,高美才,,"材料类[205-7]班,新功能材料与技术201实验班",121,必修,1,公共课排课,0,笔试考试,,,0,
720GS002,中国近现代史纲要,刘金菊,,材料类[201-5]班,148,必修,1,马克思主义学院,0,笔试考试,,,0,
550GL001,大学物理（1）上,,,"材料类[201-7]班,电子信息类[201-8]班,电气工程及其自动化[201-3]班",0,必修,1,理学院,0,笔试考试,,,0,
550GL019,线性代数,张芳,,材料类[204-7]班,114,必修,1,理学院,0,笔试考试,,,0,
550GL019,线性代数,董秋仙,,材料类[201-3]班,87,必修,1,理学院,0,笔试考试,,,0,
570ZP001,工程制图,范志平,,材料类203班,32,必修,1,材料学院,0,笔试考试,,该课程不对外专业开放,0,
570ZP001,工程制图,周雪珍,,材料类202班,34,必修,1,材料学院,0,笔试考试,,该课程不对外专业开放,0,
