,index,ci_course_no,test_time,ci_class_name,ci_student_number,ci_teacher_name,ci_class_unit
0,0,T5130F4001,0,行政管理192班,32,-1,大学英语
1,1,T5130F4001,0,行政管理191班,30,-1,大学英语
2,2,T5130F4001,0,行政管理193班,30,-1,大学英语
3,3,T5130F4001,0,信息安全193班,31,-1,大学英语
4,4,T5130F4001,0,信息安全194班,31,-1,大学英语
5,5,T5130F4001,0,信息安全191班,32,-1,大学英语
6,6,T5130F4001,0,信息安全192班,33,-1,大学英语
7,7,T5130F4001,0,信息安全195班,32,-1,大学英语
8,8,T5130F4001,0,信息安全196班,31,-1,大学英语
9,9,T5130F4001,0,数学与应用数学192班,29,-1,大学英语
10,10,T5130F4001,0,表演191班,31,-1,大学英语
11,11,T5130F4001,0,软件工程1903班,30,-1,大学英语
12,12,T5130F4001,0,软件工程1904班,30,-1,大学英语
13,13,T5130F4001,0,软件工程1912班,30,-1,大学英语
14,14,T5130F4001,0,软件工程1911班,30,-1,大学英语
15,15,T5130F4001,0,软件工程1909班,32,-1,大学英语
16,16,T5130F4001,0,软件工程1906班,31,-1,大学英语
17,17,T5130F4001,0,软件工程1905班,30,-1,大学英语
18,18,T5130F4001,0,软件工程1908班,32,-1,大学英语
19,19,T5130F4001,0,软件工程1910班,29,-1,大学英语
20,20,T5130F4001,0,软件工程1907班,29,-1,大学英语
21,21,T5130F4001,0,软件工程1901班,32,-1,大学英语
22,22,T5130F4001,0,软件工程1902班,34,-1,大学英语
23,23,T5130F4001,0,舞蹈学193班,29,-1,大学英语
24,24,T5130F4001,0,舞蹈学192班,31,-1,大学英语
25,25,T5130F4001,0,能源与动力工程192班,29,-1,大学英语
26,26,T5130F4001,0,能源与动力工程191班,33,-1,大学英语
27,27,T5130F4001,0,能源与动力工程193班,31,-1,大学英语
28,28,T5130F4001,0,广播电视学191班,32,-1,大学英语
29,29,T5130F4001,0,广播电视学192班,30,-1,大学英语
30,30,T5130F4001,0,土木工程（建筑工程方向）193班,31,-1,大学英语
31,31,T5130F4001,0,土木工程（建筑工程方向）191班,30,-1,大学英语
32,32,T5130F4001,0,土木工程（建筑工程方向）192班,32,-1,大学英语
33,33,T5130F4001,0,金融数学191班,31,-1,大学英语
34,34,T5130F4001,0,广告学191班,28,-1,大学英语
35,35,T5130F4001,0,广告学192班,29,-1,大学英语
36,36,T5130F4001,0,化学类191班,31,-1,大学英语
37,37,T5130F4001,0,计算机类191班,33,-1,大学英语
38,38,T5130F4001,0,"电子商务191班,电子商务192班",31,-1,大学英语
39,39,T5130F4001,0,信息管理与信息系统192班,31,-1,大学英语
40,40,T5130F4001,0,信息管理与信息系统191班,29,-1,大学英语
41,41,T5130F4001,0,"信息管理与信息系统191班,信息管理与信息系统192班,电子商务191班,电子商务192班",30,-1,大学英语
42,42,T5130F4001,0,"信息管理与信息系统192班,电子商务192班",30,-1,大学英语
43,43,T5130F4001,0,"生物科学类191班,生物科学类192班,生物科学类193班,生物科学类194班,生物科学类195班,生物科学类196班,生物科学191班,生物科学192班,水产养殖学（卓越）191班,生物技术191班,生物技术192班,生态学191班,2019级前湖学院综合实验班",28,-1,大学英语
